skill
problem solving
stakeholder communication
adaptability
critical thinking
analytical thinking
attention to detail
ownership
business understanding
curiosity
decision making
teamwork
data storytelling
stakeholder collaboration
responsibility
presentation skills
willingness to learn
continuous learning
reliability mindset
cross-team collaboration
leadership
strategic thinking
mentoring
system design thinking
project leadership
research mindset
visual thinking
empathy
user-centered thinking
creativity
persistence
innovation mindset
commercial mindset
time management
research leadership
project management
team leadership
self-management
accountability
