role_category,,soft_skills_required
BI,problem solving,20
BI,communication,20
BI,analytical thinking,19
BI,collaboration,19
BI,data storytelling,19
BI,adaptability,19
BI,attention to detail,17
BI,critical thinking,17
BI,business understanding,16
BI,presentation skills,12
BI,decision making,12
BI,stakeholder communication,8
BI,ownership,8
BI,stakeholder collaboration,8
BI,curiosity,5
BI,teamwork,4
BI,willingness to learn,4
BI,commercial mindset,2
BI,leadership,1
BI,mentoring,1
BI,strategic thinking,1
BI,cross-team collaboration,1
BI,process improvement,1
Data Analyst,problem solving,22
Data Analyst,attention to detail,22
Data Analyst,analytical thinking,20
Data Analyst,communication,20
Data Analyst,critical thinking,20
Data Analyst,adaptability,20
Data Analyst,collaboration,16
Data Analyst,curiosity,16
Data Analyst,teamwork,14
Data Analyst,business understanding,13
Data Analyst,data storytelling,13
Data Analyst,willingness to learn,9
Data Analyst,stakeholder collaboration,8
Data Analyst,presentation skills,8
Data Analyst,decision making,8
Data Analyst,responsibility,5
Data Analyst,stakeholder communication,5
Data Analyst,leadership,2
Data Analyst,mentoring,2
Data Analyst,ownership,2
Data Analyst,cross-team collaboration,2
Data Analyst,strategic thinking,2
Data Analyst,critical thinkin,1
Data Analyst,time management,1
Data Engineer,problem solving,11
Data Engineer,communication,11
Data Engineer,adaptability,11
Data Engineer,collaboration,10
Data Engineer,attention to detail,10
Data Engineer,analytical thinking,10
Data Engineer,teamwork,8
Data Engineer,responsibility,7
Data Engineer,critical thinking,6
Data Engineer,ownership,6
Data Engineer,curiosity,5
Data Engineer,willingness to learn,5
Data Engineer,continuous learning,5
Data Engineer,reliability mindset,5
Data Engineer,business understanding,3
Data Engineer,stakeholder communication,3
Data Engineer,stakeholder collaboration,3
Data Engineer,persistence,2
Data Engineer,system design thinking,1
Data Engineer,decision making,1
Data Engineer,strategic thinking,1
Data Engineer,cross-team collaboration,1
Data Engineer,mentoring,1
Data Engineer,leadership,1
Data Engineer,team leadership,1
Data Engineer,project management,1
DevOps,problem solving,22
DevOps,adaptability,22
DevOps,communication,22
DevOps,critical thinking,18
DevOps,ownership,18
DevOps,reliability mindset,18
DevOps,collaboration,17
DevOps,analytical thinking,16
DevOps,decision making,15
DevOps,responsibility,15
DevOps,continuous learning,13
DevOps,stakeholder collaboration,12
DevOps,cross-team collaboration,6
DevOps,stakeholder communication,5
DevOps,project leadership,5
DevOps,attention to detail,5
DevOps,mentoring,5
DevOps,leadership,5
DevOps,system design thinking,5
DevOps,strategic thinking,5
DevOps,teamwork,4
DevOps,curiosity,4
DevOps,willingness to learn,4
DevOps,self-management,1
DevOps,time management,1
DevOps,accountability,1
DevOps,business understanding,1
DevOps,presentation skills,1
ML/AI,critical thinking,12
ML/AI,problem solving,12
ML/AI,adaptability,10
ML/AI,communication,10
ML/AI,ownership,10
ML/AI,business understanding,10
ML/AI,collaboration,9
ML/AI,curiosity,9
ML/AI,analytical thinking,9
ML/AI,attention to detail,9
ML/AI,research mindset,8
ML/AI,continuous learning,7
ML/AI,leadership,3
ML/AI,strategic thinking,3
ML/AI,system design thinking,3
ML/AI,mentoring,3
ML/AI,stakeholder communication,3
ML/AI,decision making,3
ML/AI,cross-team collaboration,3
ML/AI,project leadership,3
ML/AI,willingness to learn,2
ML/AI,teamwork,2
ML/AI,research leadership,2
ML/AI,innovation mindset,2
ML/AI,persistence,1
UX,creativity,6
UX,communication,6
UX,empathy,6
UX,collaboration,6
UX,problem solving,6
UX,user-centered thinking,6
UX,attention to detail,6
UX,adaptability,6
UX,visual thinking,6
UX,critical thinking,5
UX,presentation skills,5
UX,teamwork,5
UX,stakeholder communication,4
UX,stakeholder communicatio,1
UX,curiosity,1
UX,willingness to learn,1
