role_category,,technical_skills_required
BI,sql,20
BI,power bi,19
BI,excel,18
BI,data visualization,17
BI,business intelligence,15
BI,dashboard development,13
BI,data modeling,12
BI,dax,10
BI,tableau,6
BI,power query,6
BI,etl processes,6
BI,reporting solutions,5
BI,data cleaning,5
BI,reporting tools,5
BI,python,5
BI,data analysis,4
BI,dashboard reporting,4
BI,google sheets,4
BI,azure data factory,4
BI,kpi analysis,4
BI,kpi reporting,4
BI,performance optimization,3
BI,basic dax,3
BI,kpi tracking,3
BI,data warehousing,2
BI,reporting,2
BI,commercial reporting,2
BI,forecasting,2
BI,ssis,2
BI,inventory analysis,1
BI,supply chain analysis,1
BI,logistics kpis,1
BI,dashboard strategy,1
BI,azure synapse,1
BI,etl architecture,1
BI,reporting automation,1
BI,financial reporting,1
BI,automation tools,1
BI,enterprise analytics,1
BI,cloud bi platforms,1
BI,pricing analysis,1
BI,process automation,1
BI,revenue management,1
BI,financial modeling,1
BI,basic statistics,1
BI,survey analysis,1
BI,presentation tools,1
BI,etl pipelines,1
BI,postgresql,1
BI,apache spark,1
BI,data integration,1
BI,dashboard optimization,1
BI,business analysis,1
BI,statistical analysis,1
BI,ssrs,1
BI,database management,1
Data Analyst,power bi,22
Data Analyst,data visualization,22
Data Analyst,sql,21
Data Analyst,excel,20
Data Analyst,dashboard development,15
Data Analyst,data analysis,15
Data Analyst,python,14
Data Analyst,kpi analysis,13
Data Analyst,data cleaning,13
Data Analyst,tableau,12
Data Analyst,reporting,10
Data Analyst,business intelligence,8
Data Analyst,kpi reporting,7
Data Analyst,advanced excel,5
Data Analyst,a/b testing,4
Data Analyst,data modeling,4
Data Analyst,basic python,4
Data Analyst,statistics,4
Data Analyst,google sheets,3
Data Analyst,data interpretation,3
Data Analyst,experimentation,3
Data Analyst,customer insights,3
Data Analyst,product analytics,3
Data Analyst,business reporting,2
Data Analyst,risk assessment,2
Data Analyst,pos systems,2
Data Analyst,financial analysis,2
Data Analyst,pivot tables,2
Data Analyst,forecasting,2
Data Analyst,sales analysis,2
Data Analyst,business performance analysis,2
Data Analyst,regulatory reporting,2
Data Analyst,dashboards,2
Data Analyst,performance analysis,2
Data Analyst,financial modeling,2
Data Analyst,pandas,2
Data Analyst,analytics support,2
Data Analyst,user behavior analysis,2
Data Analyst,reporting automation,2
